Date,Regime,Price
2015-10-28,Weak Bull,302.15
2016-05-28,Strong Bull,523.11
2017-06-14,Weak Bull,2528.07
2017-07-20,Strong Bull,2783.62
2017-12-18,Weak Bull,18785.69
2017-12-27,Neutral,15198.38
2018-01-07,Weak Bear,16333.65
2018-02-01,Strong Bear,9095.86
2018-12-23,Weak Bear,3965.33
2019-02-03,Neutral,3425.86
2019-02-20,Weak Bull,3963.30
2019-04-02,Strong Bull,4792.97
2019-05-20,Weak Bull,7964.33
2019-06-28,Neutral,12327.80
2019-07-03,Weak Bear,11898.21
2019-07-18,Strong Bear,10623.45
2019-11-26,Weak Bear,7154.21
2019-12-11,Neutral,7171.85
2020-01-06,Weak Bull,7753.30
2020-02-27,Neutral,8765.38
2020-03-09,Weak Bear,7854.84
2020-03-13,Strong Bear,5628.66
2020-03-26,Neutral,6747.40
2020-04-30,Weak Bull,8702.40
2020-07-24,Strong Bull,9549.95
2021-02-21,Weak Bull,57509.70
2021-04-18,Neutral,56321.75
2021-05-12,Weak Bear,52389.71
2021-07-09,Neutral,33890.43
2021-07-25,Weak Bull,34859.79
2021-11-18,Neutral,56827.28
2021-11-30,Weak Bear,57442.07
2021-12-29,Strong Bear,47264.80
2022-07-01,Weak Bear,19309.60
2022-08-25,Strong Bear,21613.24
2022-11-16,Weak Bear,16600.46
2022-12-18,Neutral,16781.15
2023-01-08,Weak Bull,16969.24
2023-02-16,Strong Bull,23855.04
2023-04-21,Weak Bull,27241.02
2023-10-18,Strong Bull,28210.31
2024-03-11,Weak Bull,72356.87
2024-10-16,Strong Bull,67619.03
2025-01-17,Weak Bull,104601.24
2025-02-11,Neutral,95670.57
2025-02-25,Weak Bear,88934.51
2025-04-10,Neutral,79486.65
2025-04-21,Weak Bull,87117.94
2025-08-18,Neutral,116263.96
2025-10-21,Weak Bear,108853.53
2025-11-12,Strong Bear,101722.09