Date,Action,Price,EquityPct,Cost,BTCHeld,TotalEquity,Regime
2015-10-28,BUY,302.15,50,5000.00,16.53152408,9995.00,Weak Bull
2016-05-28,BUY,523.11,100,5000.00,26.08018497,13642.81,Strong Bull
2017-06-15,SELL,2400.35,50,31300.79,13.04009249,62570.27,Weak Bull
2017-07-22,BUY,2819.61,100,31269.49,24.11900614,68006.19,Strong Bull
2017-12-19,SELL,17541.55,50,211542.38,12.05950307,422873.21,Weak Bull
2017-12-27,SELL,15198.38,100,183284.91,0.00000000,394432.46,Neutral
2019-02-21,BUY,3919.76,50,197216.23,50.26302970,394235.24,Weak Bull
2019-04-03,BUY,4962.09,100,197216.23,89.96787449,446428.69,Strong Bull
2019-05-21,SELL,7961.18,50,358125.22,44.98393725,715892.32,Weak Bull
2019-06-29,SELL,11986.98,100,539221.56,0.00000000,896449.43,Neutral
2020-01-07,BUY,8111.23,50,448224.72,55.20451161,896001.21,Weak Bull
2020-02-28,SELL,8728.27,100,481839.88,0.00000000,929582.76,Neutral
2020-05-01,BUY,8847.99,50,464791.38,52.47819987,929117.97,Weak Bull
2020-07-25,BUY,9666.81,100,464791.38,100.51127258,971623.37,Strong Bull
2021-02-26,SELL,46105.46,50,2317059.23,50.25563629,4631801.40,Weak Bull
2021-04-19,SELL,56212.35,100,2824987.42,0.00000000,5136904.60,Neutral
2021-07-26,BUY,37478.42,50,2568452.30,68.46296741,5134336.15,Weak Bull
2021-11-18,SELL,56827.28,100,3890564.22,0.00000000,6455125.95,Neutral
2023-01-09,BUY,17177.58,50,3227562.98,187.70603391,6451898.39,Weak Bull
2023-02-16,BUY,23855.04,100,3227562.98,322.86973156,7702070.36,Strong Bull
2023-04-24,SELL,27499.31,50,4439347.42,161.43486578,8874255.49,Weak Bull
2023-10-19,BUY,28610.54,100,4434908.07,316.28944607,9049211.85,Strong Bull
2024-03-15,SELL,68998.60,50,10911764.49,158.14472303,21812617.21,Weak Bull
2024-10-17,BUY,67375.77,100,10900852.72,319.77481453,21545074.36,Strong Bull
2025-01-18,SELL,104366.67,50,16686916.27,159.88740726,33357145.63,Weak Bull
2025-02-11,SELL,95670.57,100,15296519.39,0.00000000,31951452.22,Neutral
2025-04-21,BUY,87117.94,50,15975726.11,183.19705891,31935476.50,Weak Bull
2025-08-21,SELL,112215.59,100,20557566.05,0.00000000,36512734.60,Neutral