strategy,combination,filters,gate_threshold,ichimoku_mode,train_sharpe,train_win_rate,train_trades,train_cagr,train_max_dd,test_sharpe,test_win_rate,test_trades,test_cagr,test_max_dd,sharpe_degradation,combined_score
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+rsi_bullish,msvr_direction+smooth_direction+cycle_direction+rsi_bullish,3,standard,1.18,41.1,95,55.48,-60.61,0.7,48.9,45,18.38,-29.4,-40.7,0.7606666666666666
MAJORITY_4,msvr_direction+smooth_direction_fast+cycle_direction_short+trend_filter,msvr_direction+smooth_direction_fast+cycle_direction_short+trend_filter,2,standard,0.74,39.2,97,28.54,-62.77,0.7,35.5,31,22.68,-31.84,-5.4,0.8016129032258063
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+trend_filter_short,msvr_direction+smooth_direction+cycle_direction+trend_filter_short,3,standard,1.37,47.3,55,64.43,-30.75,0.69,43.8,32,17.7,-28.32,-49.6,0.9444374999999998
MAJORITY_4,msvr_direction+smooth_direction_fast+cycle_direction_short+trend_filter,msvr_direction+smooth_direction_fast+cycle_direction_short+trend_filter,4,standard,1.42,55.2,67,52.46,-29.4,0.68,43.2,37,12.09,-20.22,-52.1,0.7939459459459459
MAJORITY_3,lr_direction+cycle_direction+entropy_gate,lr_direction+cycle_direction+entropy_gate,2,relaxed,0.68,51.5,68,25.63,-69.98,0.67,65.2,23,21.54,-51.02,-1.5,1.8993043478260874
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+trend_filter,msvr_direction+smooth_direction+cycle_direction+trend_filter,3,standard,1.29,46.0,63,58.65,-33.31,0.66,57.9,38,16.2,-28.32,-48.8,1.0056315789473684
MAJORITY_4,msvr_direction+smooth_direction+lr_direction+er_gate,msvr_direction+smooth_direction+lr_direction+er_gate,2,standard,0.62,34.7,101,21.0,-70.39,0.66,56.5,46,20.47,-42.03,6.5,0.8106521739130435
MAJORITY_5,msvr_direction+smooth_direction+cycle_direction+entropy_gate+trend_filter,msvr_direction+smooth_direction+cycle_direction+entropy_gate+trend_filter,4,standard,1.29,46.0,63,58.65,-33.31,0.66,57.9,38,16.2,-28.32,-48.8,1.0056315789473684
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction_long+lr_direction,msvr_direction+smooth_direction+cycle_direction_long+lr_direction,4,standard,1.55,55.2,67,63.27,-32.27,0.65,38.5,26,12.09,-18.43,-58.1,0.9625000000000001
MAJORITY_3,msvr_direction+cycle_direction+entropy_gate,msvr_direction+cycle_direction+entropy_gate,3,relaxed,1.35,57.4,54,65.07,-49.09,0.65,37.9,29,14.99,-25.34,-51.9,0.8494827586206897
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+entropy_gate_strict,msvr_direction+smooth_direction+cycle_direction+entropy_gate_strict,2,standard,0.68,43.5,62,25.67,-68.38,0.64,34.4,32,19.74,-43.33,-5.9,0.688
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction_long+lr_direction,msvr_direction+smooth_direction+cycle_direction_long+lr_direction,2,standard,0.73,42.7,75,27.97,-73.62,0.64,37.5,32,18.99,-44.66,-12.3,0.75
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+rsi_bullish,msvr_direction+smooth_direction+cycle_direction+rsi_bullish,2,standard,0.84,32.5,80,35.82,-69.29,0.63,37.5,32,18.27,-44.37,-25.0,0.73828125
MAJORITY_3,msvr_direction+cycle_direction+trend_filter,msvr_direction+cycle_direction+trend_filter,2,strict,1.08,51.1,47,48.62,-52.69,0.62,65.2,23,17.14,-36.54,-42.6,1.7575652173913043
MAJORITY_3,msvr_direction+cycle_direction+entropy_gate,msvr_direction+cycle_direction+entropy_gate,3,standard,1.38,55.6,54,64.65,-40.2,0.62,45.2,31,14.31,-26.39,-55.1,0.9039999999999999
MAJORITY_5,msvr_direction+smooth_direction+cycle_direction+entropy_gate+trend_filter,msvr_direction+smooth_direction+cycle_direction+entropy_gate+trend_filter,2,standard,0.68,46.2,39,25.54,-74.95,0.61,41.7,12,19.1,-43.61,-10.3,2.11975
MAJORITY_3,lr_direction+cycle_direction+entropy_gate,lr_direction+cycle_direction+entropy_gate,2,standard,0.66,51.4,70,23.79,-71.26,0.61,62.5,24,18.4,-51.02,-7.6,1.5885416666666665
MAJORITY_4,msvr_direction+smooth_direction+lr_direction+trend_filter,msvr_direction+smooth_direction+lr_direction+trend_filter,2,standard,0.99,30.2,43,44.35,-61.12,0.61,47.6,21,17.7,-34.06,-38.4,1.3826666666666667
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+rsi_strict,msvr_direction+smooth_direction+cycle_direction+rsi_strict,3,standard,1.23,39.2,97,54.48,-44.27,0.59,52.4,42,13.3,-30.19,-52.0,0.736095238095238
OR,ichimoku_or_smooth_direction,smooth_direction,1,standard,0.82,37.3,59,34.9,-77.92,0.54,41.4,29,14.26,-38.42,-34.1,0.770896551724138
MAJORITY_4,msvr_direction+cycle_direction+entropy_gate+lr_direction,msvr_direction+cycle_direction+entropy_gate+lr_direction,3,standard,0.98,46.2,52,43.19,-61.65,0.53,43.8,32,13.05,-33.52,-45.9,0.7254375
EXIT_FILTER,ichimoku_exit_msvr_direction,msvr_direction,1,standard,1.4,46.7,195,63.7,-50.43,0.52,49.5,101,10.19,-26.88,-62.9,0.2548514851485149
MAJORITY_5,msvr_direction+smooth_direction+cycle_direction+lr_direction+entropy_gate,msvr_direction+smooth_direction+cycle_direction+lr_direction+entropy_gate,2,standard,0.62,44.2,52,20.79,-72.29,0.51,37.5,16,13.96,-55.02,-17.7,1.1953125
MAJORITY_4,msvr_direction+cycle_direction+entropy_gate+lr_direction,msvr_direction+cycle_direction+entropy_gate+lr_direction,4,standard,1.13,57.4,61,43.05,-36.1,0.47,46.7,30,8.72,-26.99,-58.4,0.7316333333333334
MAJORITY_5,msvr_direction+smooth_direction+cycle_direction+lr_direction+er_gate,msvr_direction+smooth_direction+cycle_direction+lr_direction+er_gate,2,standard,0.7,44.0,100,26.61,-67.64,0.47,49.0,49,11.79,-50.3,-32.9,0.4699999999999999
MAJORITY_3,lr_direction+cycle_direction+entropy_gate,lr_direction+cycle_direction+entropy_gate,2,strict,0.58,53.2,77,17.85,-74.05,0.45,69.6,23,10.93,-57.64,-22.4,1.3617391304347826
MAJORITY_3,msvr_direction+cycle_direction+trend_filter,msvr_direction+cycle_direction+trend_filter,3,relaxed,1.16,55.3,47,46.0,-50.47,0.42,46.2,26,7.31,-20.06,-63.8,0.7463076923076923
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+entropy_gate_strict,msvr_direction+smooth_direction+cycle_direction+entropy_gate_strict,4,standard,1.29,46.4,69,52.5,-31.5,0.41,38.9,36,7.12,-30.13,-68.2,0.4430277777777778
OR,ichimoku_or_low_volatility,low_volatility,1,standard,0.77,43.3,30,32.0,-77.14,0.4,25.0,12,8.26,-37.63,-48.1,0.8333333333333334
MAJORITY_3,msvr_direction+cycle_direction+entropy_gate,msvr_direction+cycle_direction+entropy_gate,3,strict,1.07,54.7,53,43.83,-54.75,0.38,38.7,31,6.92,-39.22,-64.5,0.4743870967741936
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+er_gate,msvr_direction+smooth_direction+cycle_direction+er_gate,4,standard,1.22,48.8,80,43.78,-37.74,0.36,40.5,37,5.36,-25.43,-70.5,0.394054054054054
MAJORITY_4,msvr_direction+cycle_direction+entropy_gate+smooth_direction,msvr_direction+cycle_direction+entropy_gate+smooth_direction,4,standard,1.31,45.3,64,53.97,-32.24,0.33,37.5,32,5.22,-32.02,-74.8,0.38671875
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+entropy_gate,msvr_direction+smooth_direction+cycle_direction+entropy_gate,4,standard,1.31,45.3,64,53.97,-32.24,0.33,37.5,32,5.22,-32.02,-74.8,0.38671875
MAJORITY_3,msvr_direction+smooth_direction+cycle_direction,msvr_direction+smooth_direction+cycle_direction,3,standard,1.31,45.3,64,53.97,-32.24,0.33,37.5,32,5.22,-32.02,-74.8,0.38671875
MAJORITY_3,msvr_direction+smooth_direction+cycle_direction,msvr_direction+smooth_direction+cycle_direction,3,relaxed,1.39,46.9,64,60.05,-30.24,0.32,34.5,29,4.77,-30.3,-77.0,0.3806896551724138
MAJORITY_4,msvr_direction+smooth_direction+lr_direction+entropy_gate,msvr_direction+smooth_direction+lr_direction+entropy_gate,2,standard,0.53,32.1,53,15.01,-77.87,0.32,40.0,25,4.47,-53.8,-39.6,0.512
MAJORITY_4,msvr_direction+smooth_direction_fast+cycle_direction+lr_direction,msvr_direction+smooth_direction_fast+cycle_direction+lr_direction,4,standard,1.28,53.5,86,44.13,-31.52,0.31,39.4,33,4.34,-17.26,-75.8,0.3701212121212121
OR,ichimoku_or_trend_filter,trend_filter,1,standard,0.68,42.9,7,24.19,-71.96,0.3,66.7,3,4.1,-41.41,-55.9,6.670000000000001
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+chikou_bullish,msvr_direction+smooth_direction+cycle_direction+chikou_bullish,4,standard,1.45,47.3,55,60.68,-34.68,0.29,36.7,30,4.11,-25.51,-80.0,0.3547666666666667
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+trend_filter_short,msvr_direction+smooth_direction+cycle_direction+trend_filter_short,4,standard,1.17,46.7,45,42.79,-37.49,0.27,39.1,23,3.46,-27.37,-76.9,0.45899999999999996
MAJORITY_3,lr_direction+cycle_direction+entropy_gate,lr_direction+cycle_direction+entropy_gate,3,relaxed,0.75,54.9,71,26.94,-54.25,0.27,52.8,36,3.8,-34.29,-64.0,0.396
EXIT_FILTER,ichimoku_exit_smooth_direction,smooth_direction,1,standard,0.79,50.2,235,27.47,-51.0,0.25,43.4,99,3.15,-29.3,-68.4,0.1095959595959596
MAJORITY_4,msvr_direction+cycle_direction+entropy_gate+trend_filter,msvr_direction+cycle_direction+entropy_gate+trend_filter,4,standard,1.37,64.3,42,55.08,-27.57,0.21,47.8,23,2.18,-22.63,-84.7,0.4364347826086956
MAJORITY_3,msvr_direction+cycle_direction+trend_filter,msvr_direction+cycle_direction+trend_filter,3,standard,1.37,64.3,42,55.08,-27.57,0.21,47.8,23,2.18,-22.63,-84.7,0.4364347826086956
OR,ichimoku_or_chikou_bullish,chikou_bullish,1,standard,0.79,33.3,63,32.15,-72.76,0.21,45.5,33,0.82,-52.63,-73.4,0.28954545454545455
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+lr_direction,msvr_direction+smooth_direction+cycle_direction+lr_direction,4,standard,1.22,51.5,66,43.09,-29.11,0.2,41.9,31,1.93,-29.1,-83.6,0.27032258064516135
MAJORITY_5,msvr_direction+smooth_direction+cycle_direction+lr_direction+trend_filter,msvr_direction+smooth_direction+cycle_direction+lr_direction+trend_filter,4,standard,1.15,47.5,61,46.32,-38.2,0.17,47.1,34,1.23,-28.46,-85.2,0.23550000000000004
MAJORITY_3,msvr_direction+smooth_direction+cycle_direction,msvr_direction+smooth_direction+cycle_direction,3,strict,1.21,45.2,62,47.18,-31.47,0.17,33.3,33,1.18,-37.61,-86.0,0.17154545454545453
MAJORITY_4,msvr_direction+smooth_direction+lr_direction+trend_filter,msvr_direction+smooth_direction+lr_direction+trend_filter,4,standard,1.48,53.6,28,60.49,-28.12,0.13,38.1,21,0.62,-18.72,-91.2,0.23585714285714288
BASELINE,ichimoku_alone,none,0,standard,1.04,63.6,11,44.94,-57.66,0.13,40.0,5,-0.37,-31.9,0.0,1.04
EXIT_FILTER,ichimoku_exit_entropy_gate,entropy_gate,1,standard,1.04,63.6,11,44.94,-57.66,0.13,40.0,5,-0.37,-31.9,-87.5,1.04
OR,ichimoku_or_rsi_bullish,rsi_bullish,1,standard,0.55,26.9,67,15.73,-75.11,0.11,23.8,21,-3.47,-45.36,-80.0,0.12466666666666665
MAJORITY_3,lr_direction+cycle_direction+entropy_gate,lr_direction+cycle_direction+entropy_gate,3,strict,0.47,47.8,69,11.75,-66.7,0.1,44.4,36,-1.26,-38.47,-78.7,0.12333333333333335
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+vol_direction,msvr_direction+smooth_direction+cycle_direction+vol_direction,4,standard,1.09,50.0,86,35.73,-27.73,0.1,35.5,31,-0.11,-33.37,-90.8,0.1145161290322581
OR,ichimoku_or_rsi_strict,rsi_strict,1,standard,0.97,36.4,88,44.23,-68.55,0.04,41.5,41,-4.58,-39.6,-95.9,0.04048780487804878
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+low_volatility,msvr_direction+smooth_direction+cycle_direction+low_volatility,4,standard,1.02,45.6,90,30.22,-30.79,0.03,40.0,30,-1.24,-24.42,-97.1,0.04
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+trend_filter,msvr_direction+smooth_direction+cycle_direction+trend_filter,4,standard,1.21,50.0,48,41.47,-37.12,0.01,33.3,24,-1.5,-24.67,-99.2,0.013874999999999998
EXIT_FILTER,ichimoku_exit_cycle_direction,cycle_direction,1,standard,0.67,50.2,275,19.14,-44.13,0.01,49.6,117,-2.81,-30.83,-98.5,0.00423931623931624
MAJORITY_3,msvr_direction+cycle_direction+trend_filter,msvr_direction+cycle_direction+trend_filter,3,strict,0.93,58.1,43,31.69,-57.49,0.01,40.0,25,-2.42,-35.29,-98.9,0.016
MAJORITY_3,lr_direction+cycle_direction+entropy_gate,lr_direction+cycle_direction+entropy_gate,3,standard,0.63,52.9,70,19.86,-58.46,-0.0,51.4,35,-4.3,-36.38,-100.0,-0.0
EXIT_FILTER,ichimoku_exit_trend_filter,trend_filter,1,standard,0.89,51.6,161,32.73,-48.63,-0.03,45.7,35,-4.44,-24.41,-103.4,-0.03917142857142857
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+rsi_bullish,msvr_direction+smooth_direction+cycle_direction+rsi_bullish,4,standard,1.09,53.7,95,34.99,-31.57,-0.11,38.5,39,-4.18,-31.5,-110.1,-0.10858974358974362
MAJORITY_4,msvr_direction+cycle_direction+trend_filter+er_gate,msvr_direction+cycle_direction+trend_filter+er_gate,4,standard,1.3,58.4,77,45.15,-32.8,-0.16,40.5,37,-4.2,-21.31,-112.3,-0.17513513513513515
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+rsi_strict,msvr_direction+smooth_direction+cycle_direction+rsi_strict,4,standard,1.25,55.4,101,39.22,-26.79,-0.19,40.0,40,-5.45,-30.7,-115.2,-0.19
EXIT_FILTER,ichimoku_exit_lr_direction,lr_direction,1,standard,0.95,57.2,173,36.57,-53.35,-0.3,52.0,75,-10.09,-39.98,-131.6,-0.208
